Year,Units_Sold,Price_Per_Unit,Discount_Percent,Advertising_Spend,Store_Count,Online_Sales_Percent,Customer_Rating,Toy_Name
2021,1915,53.52,22.19,13151.88,144,61.35,1.4,Remote Control Car
2021,1455,26.96,8.92,4550.09,39,25.54,1.9,Puzzle Game
2025,2773,43.28,18.41,22128.62,97,76.92,3.9,Building Blocks
2023,54,40.45,33.75,30417.29,51,75.8,3.6,Action Figure
2024,1218,98.8,17.55,40058.06,133,70.24,2.4,Teddy Bear
2024,2448,86.09,17.07,3526.49,116,19.25,5.0,Barbie Doll
2017,2680,41.86,49.54,21475.63,83,11.43,2.2,Barbie Doll
2021,397,91.82,35.94,48866.01,190,66.66,2.0,Teddy Bear
2015,4270,37.55,25.69,6915.31,115,26.36,2.4,Action Figure
2018,1863,68.45,28.97,20614.67,41,77.26,4.0,Barbie Doll
2018,3392,96.83,31.01,14477.71,85,63.82,1.4,Remote Control Car
2019,2624,42.08,1.23,7567.93,195,39.95,2.2,Building Blocks
2021,3875,69.59,4.01,42108.34,59,49.0,3.4,Action Figure
2021,4643,33.11,32.46,35158.65,92,50.22,4.5,Train Set
2025,102,30.3,18.22,21166.27,147,40.31,2.7,Action Figure
2018,198,59.54,2.77,19084.3,80,24.35,2.5,Barbie Doll
2021,552,98.03,14.88,41559.69,62,89.55,2.4,Remote Control Car
2025,919,48.05,6.51,5448.41,181,69.94,1.2,Building Blocks
2017,3571,94.08,45.82,8194.83,194,22.51,4.8,Action Figure
2020,4364,91.86,10.15,45420.95,8,12.77,1.2,Barbie Doll
2016,3921,29.11,7.18,41043.13,46,37.55,3.2,Puzzle Game
2024,1350,43.17,31.31,38969.01,102,54.36,4.2,Remote Control Car
2023,2549,66.11,26.1,31574.82,140,85.04,4.4,Train Set
2019,4083,54.21,28.8,15330.05,88,20.59,1.7,Puzzle Game
2020,3339,14.12,21.8,46804.54,65,45.22,1.1,Action Figure
2018,4883,99.4,23.36,25101.57,23,24.29,4.1,Puzzle Game
2025,3903,76.5,38.94,14750.36,39,15.58,1.2,Toy Bike
2024,2501,46.58,11.0,18913.16,60,58.11,2.7,Toy Bike
2021,4435,63.73,19.83,1825.21,155,18.3,2.4,Teddy Bear
2023,388,13.32,47.89,13502.79,185,67.62,1.5,Building Blocks
2021,2874,52.05,9.5,10209.85,44,54.28,3.1,Action Figure
2015,1743,93.43,14.69,7642.28,70,28.6,1.6,Building Blocks
2015,1036,90.18,9.58,2574.86,156,73.56,3.7,Puzzle Game
2023,3540,37.05,1.02,12116.9,151,65.97,4.2,Teddy Bear
2025,2783,55.48,13.49,6072.42,116,60.1,1.9,Remote Control Car
2023,3817,71.25,2.32,3211.88,34,27.11,4.0,Barbie Doll
2018,4126,37.3,7.73,7728.79,25,66.52,3.6,Puzzle Game
2023,2056,11.16,18.13,10917.76,139,53.25,2.1,Puzzle Game
2017,3157,53.02,1.04,21382.15,48,52.74,1.8,Teddy Bear
2021,4518,62.16,37.65,29601.09,65,19.56,4.5,Remote Control Car
2020,3380,5.55,39.78,16791.03,102,20.81,1.8,Building Blocks
2022,3091,14.08,20.57,7921.71,138,12.58,1.3,Train Set
2025,580,24.69,49.23,47075.87,154,29.64,2.3,Building Blocks
2023,973,38.06,33.95,26227.83,138,49.47,4.6,Barbie Doll
2019,4168,56.4,37.19,37352.14,18,38.72,3.3,Action Figure
2015,290,32.92,9.62,35027.32,188,67.03,3.9,Action Figure
2017,1946,31.24,41.87,14959.94,73,42.6,1.9,Building Blocks
2024,3374,87.59,47.25,28433.23,45,17.46,3.0,Train Set
2022,863,18.78,11.82,30506.04,154,67.97,4.2,Teddy Bear
2025,4800,52.07,34.32,18237.76,106,24.73,2.5,Remote Control Car
2020,832,95.52,37.35,33867.56,137,35.2,3.9,Toy Bike
2022,4105,64.38,15.26,39743.15,36,50.05,3.3,Train Set
2023,57,73.13,23.75,18846.32,143,54.33,2.3,Teddy Bear
2018,3823,45.97,4.88,1730.85,152,33.6,2.7,Building Blocks
2015,4720,6.89,8.65,18117.46,168,46.86,3.9,Train Set
2015,3189,66.38,3.08,6723.96,130,15.34,4.0,Toy Bike
2024,3839,65.03,28.01,8624.79,132,22.81,4.6,Teddy Bear
2018,4101,15.49,31.26,18931.52,95,57.92,3.2,Puzzle Game
2021,567,48.91,45.81,11173.43,20,10.37,2.8,Train Set
2016,3240,91.96,27.11,46809.56,167,24.72,4.1,Remote Control Car
2017,3152,24.48,13.03,32987.34,45,60.27,2.5,Building Blocks
2015,4628,48.8,2.97,26399.84,154,28.58,3.4,Barbie Doll
2019,2766,48.8,44.25,1476.49,188,75.43,4.0,Action Figure
2015,628,82.02,23.94,6077.27,197,41.4,4.7,Action Figure
2022,4532,83.33,36.87,39635.41,68,67.13,4.6,Remote Control Car
2015,4557,77.13,0.73,20097.44,86,80.81,3.6,Toy Bike
2025,1915,39.72,24.41,3229.17,70,45.86,1.1,Action Figure
2015,1426,11.84,16.29,41452.4,118,64.0,4.0,Train Set
2016,2988,38.2,1.52,15829.65,31,77.47,2.3,Barbie Doll
2016,955,69.58,38.78,19928.49,127,29.71,4.3,Barbie Doll
2020,1014,71.76,25.65,48744.08,197,80.82,1.1,Remote Control Car
2021,2026,96.68,16.66,1760.12,135,78.82,1.5,Teddy Bear
2019,4809,48.1,40.29,36344.9,69,14.83,3.8,Barbie Doll
2015,4970,65.08,22.35,47495.32,4,47.68,2.1,Teddy Bear
2015,1937,56.22,0.17,4129.12,37,18.89,2.3,Train Set
2017,2497,19.31,47.22,43437.77,118,80.89,2.6,Barbie Doll
2016,1041,48.81,12.78,21395.84,2,29.17,1.8,Barbie Doll
2019,3606,56.76,41.53,44021.83,177,39.68,4.4,Action Figure
2024,4009,95.32,40.82,16105.46,17,85.04,1.4,Teddy Bear
2020,3654,39.82,8.12,49150.47,17,54.97,1.7,Remote Control Car
2021,1133,98.11,23.7,32705.42,168,84.17,2.5,Train Set
2018,484,56.52,2.01,31727.43,51,46.93,2.5,Action Figure
2021,70,28.03,17.73,40489.27,114,88.62,1.2,Train Set
2025,2972,23.21,36.55,22392.72,28,86.42,2.4,Action Figure
2022,1975,18.46,11.85,13674.81,122,11.61,4.1,Train Set
2025,1522,48.03,5.86,13883.58,46,42.49,4.6,Toy Bike
2015,1149,7.08,25.36,17199.58,114,86.0,1.5,Train Set
2020,2687,47.28,26.85,31250.28,109,75.14,3.6,Building Blocks
2022,439,98.9,33.79,42081.1,127,26.96,4.7,Building Blocks
2019,3463,68.66,37.96,25479.32,106,80.79,2.2,Puzzle Game
2018,2665,77.18,34.79,20768.96,87,26.13,4.5,Puzzle Game
2016,1404,16.31,42.27,39898.54,102,84.89,1.6,Teddy Bear
2020,4571,49.94,11.15,15193.73,49,16.64,4.4,Action Figure
2020,55,32.19,28.49,34762.73,145,85.71,2.7,Barbie Doll
2025,240,89.94,18.0,6184.46,27,16.59,4.3,Action Figure
2015,197,22.22,48.11,6548.68,190,28.23,1.8,Teddy Bear
2023,4550,48.58,22.01,32558.72,11,55.29,1.3,Puzzle Game
2025,4403,60.86,47.99,5054.78,124,25.04,3.4,Remote Control Car
2020,3600,53.83,38.45,8597.51,172,41.14,2.1,Building Blocks
2017,4969,83.87,35.92,31594.08,108,23.51,4.2,Toy Bike
2018,4155,26.99,24.58,22471.98,36,54.62,4.3,Barbie Doll
2025,1160,40.85,22.17,28503.53,121,58.87,3.9,Toy Bike
2018,3883,80.25,26.33,48870.2,144,27.64,3.0,Teddy Bear
2017,4983,55.17,14.68,31966.09,60,33.33,4.7,Action Figure
2024,674,43.2,45.23,29951.69,97,69.05,3.3,Train Set
2017,4175,7.8,39.72,19626.77,180,16.93,1.7,Teddy Bear
2017,2225,76.57,40.07,31913.0,22,46.23,3.3,Action Figure
2018,3199,97.36,21.66,1636.98,77,33.21,3.3,Teddy Bear
2021,1128,63.93,3.55,28308.69,199,42.99,3.6,Action Figure
2018,3601,86.37,34.15,4375.97,121,76.84,1.4,Train Set
2023,2402,54.1,18.72,11788.44,38,88.33,3.8,Teddy Bear
2015,595,27.01,43.52,28592.93,65,24.43,2.6,Building Blocks
2022,1245,6.37,39.02,33729.58,179,14.89,3.4,Toy Bike
2021,2119,67.07,7.27,19855.03,86,25.76,4.7,Teddy Bear
2016,3408,51.85,30.09,21530.02,127,79.8,2.4,Action Figure
2022,2488,79.3,34.61,25403.1,151,80.36,3.2,Toy Bike
2015,666,70.99,28.41,38194.66,127,32.94,4.1,Puzzle Game
2025,4294,98.86,25.7,1863.76,15,36.39,1.5,Action Figure
2023,3393,53.48,11.39,22906.33,108,63.12,2.4,Teddy Bear
2023,1861,45.58,11.8,1699.41,79,37.34,1.5,Puzzle Game
2016,221,32.24,38.4,16637.95,31,82.33,4.4,Building Blocks
2021,4192,50.3,0.93,26472.58,156,74.08,4.1,Train Set
2024,675,87.92,38.95,4916.04,67,38.63,2.3,Remote Control Car
2017,4113,9.03,26.34,24775.46,170,87.78,1.1,Action Figure
2021,2304,97.9,46.81,46304.12,153,69.59,2.6,Toy Bike
2024,502,99.36,49.87,34581.77,33,70.58,1.1,Puzzle Game
2023,1468,61.79,33.17,39330.38,97,86.83,2.2,Building Blocks
2018,803,36.5,20.61,29440.3,151,44.45,1.8,Action Figure
2015,3422,26.19,23.75,44921.59,92,13.31,1.9,Action Figure
2016,2773,31.27,10.21,8196.6,53,89.28,3.8,Toy Bike
2015,3060,9.76,4.96,23039.52,144,84.82,3.8,Action Figure
2019,2961,50.14,28.94,30254.63,165,87.29,3.8,Puzzle Game
2019,1275,10.45,40.27,43800.29,133,47.91,4.3,Teddy Bear
2025,217,73.26,13.09,16092.5,139,23.17,4.2,Puzzle Game
2021,3735,40.33,20.98,1055.27,12,25.67,3.5,Barbie Doll
2023,135,23.94,27.74,48746.29,21,47.86,1.9,Barbie Doll
2023,1727,56.76,45.39,2272.89,146,64.03,2.4,Remote Control Car
2017,2032,97.51,6.93,8465.97,142,47.21,2.6,Remote Control Car
2017,4994,71.04,11.84,21680.27,33,41.57,3.8,Building Blocks
2017,1536,51.72,45.93,25322.12,149,87.08,3.1,Barbie Doll
2018,491,78.81,1.98,41888.83,154,61.82,4.0,Puzzle Game
2022,320,75.06,32.81,22943.08,153,42.59,1.6,Barbie Doll
2020,393,89.71,31.98,27824.03,35,65.19,1.9,Barbie Doll
2022,1256,24.44,19.16,10799.99,63,73.34,1.2,Toy Bike
2015,3131,86.59,23.41,28888.78,114,39.39,3.3,Barbie Doll
2022,1307,33.6,42.75,18070.8,117,48.01,4.9,Teddy Bear
2018,2341,94.39,8.25,5837.88,119,61.35,3.2,Barbie Doll
2025,1582,31.7,11.58,47376.68,125,61.01,1.9,Toy Bike
2015,3472,93.05,25.62,5002.53,148,24.04,3.5,Puzzle Game
2022,4412,96.56,20.49,34216.07,63,49.76,3.7,Train Set
2018,1703,18.82,28.72,45501.46,194,30.73,3.3,Teddy Bear
2020,288,97.58,46.04,9781.03,105,83.09,2.5,Action Figure
2022,964,13.14,45.86,12618.77,118,49.72,4.3,Puzzle Game
2018,1488,25.76,11.5,21908.63,140,71.33,3.0,Puzzle Game
2017,3066,47.2,15.11,15430.99,32,13.53,5.0,Puzzle Game
2023,1510,99.39,8.1,38192.62,107,40.53,2.0,Action Figure
2017,3129,51.41,46.39,17569.52,97,22.7,1.9,Barbie Doll
2023,2308,57.29,19.89,49305.94,48,41.44,1.3,Building Blocks
2016,416,70.97,22.49,43080.57,120,73.6,2.6,Action Figure
2016,3041,96.99,40.13,44871.86,187,84.15,2.0,Teddy Bear
2016,3791,79.42,25.65,4119.55,20,83.3,4.3,Toy Bike
2020,135,26.29,5.99,9639.11,105,19.51,3.1,Toy Bike
2017,2543,33.78,21.89,9299.05,101,34.12,1.2,Remote Control Car
2023,4765,14.27,31.53,33926.27,37,62.83,2.4,Action Figure
2018,181,66.22,35.96,1583.66,40,26.28,3.8,Remote Control Car
2015,953,22.17,32.27,40514.88,119,14.11,2.9,Barbie Doll
2018,3506,29.45,5.96,27805.25,189,86.29,2.4,Puzzle Game
2015,1271,89.37,15.22,28749.34,56,36.36,1.6,Barbie Doll
2019,1813,36.04,36.68,27329.48,14,43.59,3.7,Action Figure
2018,2854,58.83,44.01,27231.95,164,31.8,1.7,Train Set
2022,1276,42.77,2.36,10696.42,90,36.02,4.5,Toy Bike
2022,1334,12.03,2.11,14875.81,34,87.12,5.0,Barbie Doll
2021,739,39.47,32.17,24893.26,6,25.34,3.2,Barbie Doll
2017,4832,43.77,27.4,34214.38,46,49.59,1.5,Action Figure
2015,4931,90.09,7.77,14325.73,119,61.05,3.7,Action Figure
2015,4485,35.82,27.41,40500.61,150,27.95,1.5,Puzzle Game
2025,4557,41.03,48.72,40719.07,99,67.25,4.6,Building Blocks
2017,2046,79.38,31.55,14420.09,83,64.6,3.3,Remote Control Car
2020,4431,77.1,22.46,28443.17,151,86.38,4.2,Train Set
2021,1159,80.84,41.38,18097.22,114,46.83,3.5,Train Set
2020,4995,95.61,10.64,10343.6,64,40.78,3.1,Remote Control Car
2020,479,80.58,20.72,40494.0,96,38.89,3.1,Puzzle Game
2020,4176,43.72,26.39,49582.58,172,39.15,4.0,Teddy Bear
2017,3831,83.04,25.23,28720.24,11,13.01,4.6,Teddy Bear
2020,652,53.32,46.05,45783.39,68,28.9,1.9,Remote Control Car
2022,489,31.38,14.63,32466.27,61,19.6,1.5,Barbie Doll
2025,1034,33.78,2.83,28720.46,76,80.45,1.2,Toy Bike
2025,1968,26.27,45.82,24527.1,56,14.5,4.5,Barbie Doll
2016,4557,18.77,10.85,12550.03,179,39.22,1.5,Puzzle Game
2019,577,22.53,18.95,5128.51,63,27.55,3.5,Toy Bike
2015,4455,11.0,26.54,22674.46,30,61.65,2.3,Barbie Doll
2015,3046,89.4,48.79,28504.19,10,36.11,3.3,Remote Control Car
2019,3517,93.45,26.76,25963.03,151,11.33,1.3,Train Set
2017,1411,60.74,22.39,35082.96,1,81.51,3.3,Action Figure
2018,753,84.85,29.18,10412.84,48,60.92,4.5,Train Set
2017,712,22.44,48.54,18355.95,132,10.11,2.1,Train Set
2015,414,90.66,40.9,21362.8,119,64.37,2.3,Train Set
2015,972,53.1,8.45,10139.64,156,27.31,1.9,Toy Bike
2019,3906,11.38,40.16,45416.75,172,87.09,1.5,Puzzle Game
2020,225,18.42,42.05,34394.06,117,45.59,1.3,Remote Control Car
2017,985,34.35,34.53,5501.25,67,27.86,3.7,Puzzle Game
2023,431,9.14,32.86,35927.1,130,12.42,2.4,Train Set
2019,355,34.38,22.04,27841.59,105,14.7,2.8,Building Blocks
2022,4747,10.69,32.08,26673.08,58,14.51,2.3,Remote Control Car
2015,2440,27.42,36.88,49499.5,6,12.52,4.0,Remote Control Car
2019,2253,30.24,6.14,31291.84,170,53.88,3.7,Action Figure
2017,4857,99.47,12.87,44939.68,17,77.73,3.7,Remote Control Car
2015,1515,27.38,9.7,45763.9,165,37.68,4.1,Train Set
2018,3321,27.72,42.06,5969.51,172,37.9,3.3,Remote Control Car
2019,452,70.24,34.0,1409.75,23,18.32,1.4,Teddy Bear
2021,4759,86.64,22.54,22328.08,40,10.09,2.7,Building Blocks
2015,2720,41.77,41.3,38694.96,172,86.14,2.3,Barbie Doll
2017,1851,88.18,35.84,41385.6,159,46.62,2.4,Train Set
2016,2700,37.31,45.68,39587.21,76,68.99,1.8,Building Blocks
2023,226,23.72,3.84,22917.11,124,79.46,1.6,Train Set
2024,4594,36.32,25.46,37748.24,141,18.96,2.9,Action Figure
2020,792,62.89,35.34,36220.05,124,31.01,4.9,Puzzle Game
2024,2398,39.88,10.37,16377.14,98,50.16,1.1,Remote Control Car
2017,4452,68.92,16.36,9267.31,20,33.79,2.1,Barbie Doll
2022,800,27.51,20.95,31449.52,175,14.26,4.9,Train Set
2022,918,71.59,39.72,34177.23,10,81.43,2.4,Barbie Doll
2016,4112,38.01,24.68,28830.56,193,29.99,3.6,Building Blocks
2020,4017,48.31,24.64,11445.8,52,15.82,2.1,Puzzle Game
2021,263,57.99,21.54,14556.99,63,43.79,3.2,Train Set
2016,1667,70.19,11.43,35715.83,157,74.35,1.7,Puzzle Game
2025,2580,27.68,46.15,48168.5,182,23.48,3.2,Action Figure
2024,3383,84.41,15.89,47296.94,126,44.95,2.9,Building Blocks
2016,1647,73.58,28.37,26463.25,86,24.84,4.3,Remote Control Car
2024,561,27.24,7.44,44441.41,50,75.45,4.2,Toy Bike
2015,302,97.62,21.71,2443.11,65,51.83,1.7,Barbie Doll
2022,4183,68.16,45.19,43196.45,44,56.27,4.8,Barbie Doll
2015,678,47.98,49.77,24331.39,8,69.8,2.6,Remote Control Car
2023,3526,19.97,18.09,39294.84,9,85.18,1.2,Barbie Doll
2025,1036,55.66,7.7,1273.56,23,18.46,1.3,Remote Control Car
2020,1775,20.65,15.72,43559.48,162,77.64,2.7,Toy Bike
2021,2143,45.8,16.36,30154.0,16,47.94,4.5,Teddy Bear
2024,1751,43.83,32.23,12771.29,190,61.24,1.6,Building Blocks
2021,354,73.39,24.81,18026.67,65,78.22,2.9,Action Figure
2024,4128,23.28,38.42,10832.64,180,36.13,3.2,Toy Bike
2017,2330,83.08,35.07,21795.88,113,79.56,4.6,Toy Bike
2016,4390,35.98,12.57,17170.3,151,60.51,1.0,Toy Bike
2023,2857,47.18,39.21,27190.66,38,32.32,4.6,Train Set
2022,2936,78.37,42.37,40924.44,122,83.58,2.1,Barbie Doll
2024,3504,64.41,29.92,49131.49,168,14.63,4.5,Puzzle Game
2021,1074,34.26,46.38,13321.42,114,57.24,2.7,Remote Control Car
2023,4362,41.69,39.15,6218.9,8,11.35,2.3,Barbie Doll
2018,3025,34.05,29.77,20387.7,32,16.53,5.0,Train Set
2018,556,61.5,45.31,8034.16,40,18.01,4.1,Teddy Bear
2015,4906,36.6,30.02,41877.77,194,81.54,2.9,Barbie Doll
2022,3001,73.94,26.06,25555.12,176,54.7,2.5,Action Figure
2017,1103,60.08,17.81,31378.16,13,30.8,2.3,Remote Control Car
2021,2724,18.84,44.14,8380.02,123,41.25,3.8,Action Figure
2016,2617,34.48,6.14,37730.83,27,77.04,2.7,Puzzle Game
2016,1954,26.04,23.68,48705.51,174,55.61,3.6,Toy Bike
2021,4420,42.08,26.87,24636.88,71,12.53,2.7,Barbie Doll
2020,4637,54.02,27.74,48160.41,3,79.7,2.5,Building Blocks
2017,4972,53.14,32.59,2701.09,85,53.08,2.3,Remote Control Car
2023,2944,76.68,25.29,2750.41,61,25.7,4.7,Toy Bike
2024,1150,22.97,12.84,48040.63,72,67.22,4.1,Teddy Bear
2020,3711,94.91,42.85,35313.01,193,52.71,3.6,Train Set
2024,1686,37.57,32.88,10245.8,145,25.15,3.7,Barbie Doll
